Title,rvwaut__infver,catxtcpt,rvwbd,rvwfoot__helpfulcount,rvwfoot__helpfulcount1,Image_URL
"Sami of Orlando, FL","
                    Verified Reviewer
                ","Original review: Jan. 8, 2023","New driver. Have only 2 Seconds accept job. After accepting you will find out rider going out of town 90 miles while rider sitting in your car. Can't cancel job while guest refused to leave your car. Uber simply laughing at you. When I call to explain they told me, ""Now you know.""","6 people found this review helpful
            
        ",6 people,Rated with 1 star
"joppy of Melbourne, Other","
                    Verified Reviewer
                ","Original review: Jan. 1, 2023",Requested for Uber XL more than 12 hours of departure time but Uber X came which was very small. Then to cancel that and organise another transport which caused significant delay to reach airport and stressed and rushed to get the flight.,"6 people found this review helpful
            
        ",6 people,Rated with 1 star
"Cynthia of Littleton, CO","
                    Verified Reviewer
                ","Original review: Dec. 31, 2022",Do not recommend Uber for early morning flight. Driver decided not to show for a 3:30 am pickup and did not let me know. I had to drive to the airport and it delayed my check in which was another Southwest mess. Uber charged ME a $29 cancellation fee and the airport parking and Denver Airport was $300 in expense I did not plan to have. Horrible experience and way to start the holiday vacation.,"7 people found this review helpful
            
        ",7 people,Rated with 1 star
"Diana of Ellicott City, MD","
                    Verified Reviewer
                ","Original review: Dec. 31, 2022",I used Uber in Canada. They started charging me monthly for uberpass Canada. I did not sign up for it but didn't notice it on my credit card until 2 months later after they charged me for 3 months. They would only refund the last month. I don't even live in Canada and only use Uber once or twice a year. Beware as they hope you won't notice and they will make some extra money. They may have some button you have to press to get your ride that signs you up without knowing it.,"6 people found this review helpful
            
        ",6 people,Rated with 1 star
"Darrell of Pittsburgh, PA","
                    Verified Reviewer
                ","Original review: Dec. 29, 2022",Uber charges us a commercial insurance fee for every trip! And the longer the trip the more they take out why? They don’t even know how many riders are on each trip. It should be one flat rate instead it feel like they chose what to take.,"4 people found this review helpful
            
        ",4 people,Rated with 1 star
"carolyn of Melbourne, FL","
                    Verified Reviewer
                ","Original review: Dec. 29, 2022",I have used Uber before and never had an issue until now. I mainly use Uber for a ride to the airport which is 4 miles from my house. Last time Uber charged me $12.00. This time to go 4 miles to the airport was $43.55!! I understand inflation but this is ridiculous!! I've tried numerous times to get some sort of refund with no luck... terrible customer service!!! Will never use Uber again!!!,"6 people found this review helpful
            
        ",6 people,Rated with 1 star
"Wanda of Appleton, WI","
                    Verified Reviewer
                ","Original review: Dec. 28, 2022","The rider called me before I picked him up, portraying himself as an Uber supervisor. He told me to pull over because my account has been suspended. I told him I was pulling over, but before I could he called me ""A ** monkey bitch"". And then he canceled the ride.","3 people found this review helpful
            
        ",3 people,Rated with 1 star
"Nicole of Golden, CO","
                    Verified Reviewer
                ","Original review: Dec. 19, 2022","I live in Denver CO. Uber is super unreliable here. Constant cancelation of your ride or waiting hours to get a ride. The price is extremely inflated. You feel bad not to give a driver a tip because you know they are not getting paid even half of what you pay the app so you are kinda guilt-tripped into adding more money for a tip. I recently scheduled a ride to the airport. Since I needed a 430am pick up, I made a 48 hour scheduled uber reservation. The first person who picked it up, canceled right away. Within an hour someone else picked it up. The morning of my departure, 15 minutes before the pickup my ride canceled. And no one else would pick it up because Denver has no drivers. I missed my flight and uber would only give me a 100 dollar credit which was not even worth them making me miss my flight. Once I was rebooked, I took the train to the airport instead. ","9 people found this review helpful
            
        ",9 people,Rated with 1 star
"Christian of Cumming, GA","
                    Verified Reviewer
                ","Original review: Dec. 16, 2022","The cost for a ride anywhere has gotten out of hand. A few years back I could get a ride to the airport for around $45. Now it's more like $70. Customer service is either non-existent or near impossible to get in touch with. It's like they designed the app to make it that way. Trying to get a ride home from the Atlanta Airport, one of the busiest in the world has me waiting around 45 mins typically, with rides getting canceled often. This company deserves to go out of business. I will be looking into traditional cabs.","6 people found this review helpful
            
        ",6 people,Rated with 2 stars
"Dana of Philadelphia, PA","
                    Verified Reviewer
                ","Original review: Dec. 15, 2022",I preordered an Uber for this morning. I get a text saying the driver is nearby. My son is outside waiting. I get another text telling me my ride ended early?? How the driver never showed up. I was still charged. No response from Uber!!! No way to talk to a person. They keeping sending me back to the app!!,"7 people found this review helpful
            
        ",7 people,Rated with 1 star
"C. of Oceanside, CA","
                    Verified Reviewer
                ","Original review: Dec. 14, 2022","Shame on you for not having a EMERGENCY # to contact one of your drivers, I was thousands of miles from home & left my cell phone in the back of a ride. I tried your listed # & of course it is a short recording that you don't answer phones & hangs up on me. I was tried to try the Uber app - It's on my phone in the back of one of your drivers!! It was very stressful & I will think again about using a co that I have no one to contact. You think deleting my post will make me go away?","8 people found this review helpful
            
        ",8 people,Rated with 1 star
"Erica of Wrightsville, GA","
                    Verified Reviewer
                ","Original review: Dec. 14, 2022","So aggravating. I have been with Uber since March 2022. I have good and bad weeks. However, I was tricked and I am very pissed. I was told that if I finished the promotion for 50 trips I would get $150. Which I never did. Had I known this minor bit of info I would not have kept the rental. I gave them screenshot after screenshot confirming my issue. All to no avail. I emailed corporate. This happened on Halloween and guess what I finally gave up on time and energy 2 weeks ago. I mean I legit called and emailed every day. I hate when companies take advantage of the movers and shakers that help this economy. Moral of the story go with Lyft or the up and coming new rideshare companies. DEFINITELY NOT UBER!","7 people found this review helpful
            
        ",7 people,Rated with 1 star
"Irina of Ocean View, HI","
                    Verified Reviewer
                ","Original review: Dec. 13, 2022","I scheduled a ride to the airport a month ago. The driver was assigned a few days ago. Do you think that people going to the airport for a party or for a flight? Any person would say for a flight, right? We guess our driver wasn’t one who thought the same. He decided to cancel our trip 15 minutes before the scheduled time. So, at 4 am I saw a cancellation notice. We found a driver with Lyft but it was 30 minutes late. And we were late for our flight too. We had to reschedule our flight and pay additional $118. Instead of coming at 11am direct flight, we would come at 10.20pm with two stops.","4 people found this review helpful
            
        ",4 people,Rated with 1 star
"Amanda of Jacksonville, FL","
                    Verified Reviewer
                ","Original review: Dec. 7, 2022","My family and I were SCAMMED by Uber in Columbia, SC on 12/3/2022. We requested an Uber to pick us up from a concert and take us back to the hotel. The driver did not pick us up. Instead he drove the intended route and completed the trip. We were still in the concert and did not know this happened until we exited and began looking for him. Uber refuses to refund me for this trip stating that it was completed. I have photo evidence!","4 people found this review helpful
            
        ",4 people,Rated with 1 star
"Scott of Fort Lauderdale, FL","
                    Verified Reviewer
                ","Original review: Dec. 3, 2022","Uber does not care about it drivers. Will randomly deactivate your account and refuse to disperse your earnings as they have done to me today with no resolution, help, or investigation. Left me an hour and a half away from home with no gas or money. Do not ever drive for Uber. They could care less about drivers. I’ve been driving for them for 5 years and feel like an idiot for driving a mile for them. They could care less about you or your vehicle. Let them sit back to 50% or more of every fare, use your car, fuel, insurance, and time, and then screw you over and steal your hard earn money….","6 people found this review helpful
            
        ",6 people,Rated with 1 star
"Rachel of Columbus, OH","
                    Verified Reviewer
                ","Original review: Dec. 2, 2022",$60 to go 9 miles from the airport to home. That's $6.66 a mile. What a coincidence that it equals 666. I hope this price gouging company goes bankrupt. We are going back to cabs and will never use Uber again.,"5 people found this review helpful
            
        ",5 people,Rated with 1 star
"Jerry of West Palm Beach, FL","
                    Verified Reviewer
                ","Original review: Dec. 1, 2022","Non existent customer service. Ignore customer emails. Rude and obnoxious passengers. Uber takes too high of a percentage of the ride charge especially considering gas prices, car maintenance and wear and tear from as well as needing additional rideshare insurance or else your insurance company will drop you. Uber provides zero services except for a blanket insurance coverage for drivers and with a very high 2k deductible. Go work anywhere else but this sham of a company.","6 people found this review helpful
            
        ",6 people,Rated with 1 star
"Rosemary of Mesquite, TX","
                    Verified Reviewer
                ","Original review: Nov. 26, 2022",They keeping taking money out they should not be taking out. On Uber one I canceled the membership. Not getting any lower on trips but still taking out 9.99. Watch them. They take money out they shouldn't. If I didn't need them I would not use them again.,"3 people found this review helpful
            
        ",3 people,Rated with 2 stars
"Paul of Hudson, FL","
                    Verified Reviewer
                ","Original review: Nov. 25, 2022",I made a reservation in advance to have a driver pick me up at the Tampa airport at 11:37 pm. My flight arrived early and I had my luggage before that time. Apparently the driver cancelled my reservation and it is impossible to contact Uber despite what they say about using their worthless app. I was able to get a Lyft driver within 5 minutes for half the price that I would have paid Uber. I’ll be a Lyft customer from now on and so should you.,"3 people found this review helpful
            
        ",3 people,Rated with 1 star
"Douglas of Orinda, CA","
                    Verified Reviewer
                ","Original review: Nov. 21, 2022","We had an Uber ride to airport reserved a couple days in advance and received a confirmation email. On day of service, 4 minutes prior to pick-up time we received a ride cancellation notice! We had to scramble to get a ride from neighbor, contrary to the Uber app claim “A trusted ride” is false.","3 people found this review helpful
            
        ",3 people,Rated with 1 star
"Cherilyn of Encinitas, CA","
                    Verified Reviewer
                ","Original review: Nov. 20, 2022","I have a Tesla and have had 2 over past 8 years. They have been using tesla Uber credits voucher rather than a loaner car, when you need service for about 3 years now. I’ve used them 4 times in the 3 years. You get usually $100/day or a combined amount for several days ($400 for anticipated 4 days) in service. I’ve used Uber black, Uber lux on these occasions no problem. The voucher itself indicates only restrictions are Uber eats and you are responsible for the tip.","3 people found this review helpful
            
        ",3 people,Rated with 1 star
"Theresa of Beaverton, OR","
                    Verified Reviewer
                ","Original review: Nov. 18, 2022","I went to a company event last night and took an Uber there and back-$39.85 and $37.94-I was alerted as I got home that there were 19 charges for over 30.00 each by Uber. I canceled my card and reversed all charges. However those charges of almost $600.00 are now on hold for payment-Uber Customer Service response-it will be reversed in 3-5 days. WTH? It should never have been charged in the first place! Oh, and it's my bank that is causing the 3-5 delay. What if I had been over drafted? Uber would need to be paying those fees! Instead I will need to wait until next week for my account to be credited-DO NOT RECOMMEND!","4 people found this review helpful
            
        ",4 people,Rated with 1 star
"Kegan of Leechburg, PA","
                    Verified Reviewer
                ","Original review: Nov. 16, 2022","Uber's take rate is out of this world. If you were to decline 1 trip, it takes 60 trips to get that 1% of money back. As me, the operator, the maintainer, the insurer (they have insurance too), with no cost to them other than ""app development"" is quite embarrassing. There are ""surges"", and ""bonuses"", but these wouldn't be needed if Uber just kept 10% of YOUR profit, compared to the 50% they usually take. Uber shows true capitalism. So I'm looking for app developers to make our own and put Uber and Lyft out of business. It's outrageous, their company will say their take rate is 25%, but more times than not, it's +40%. ","3 people found this review helpful
            
        ",3 people,Rated with 1 star
"Joseph of Jacksonville, FL","
                    Verified Reviewer
                ","Original review: Nov. 15, 2022",As a new driver I was sent an email from Uber to change my password and when I tried I was locked out. Now that I need assistance I have absolutely no way to contact them and losing any chance to continue to work as a driver now that I lost access to the app. To have no customer service access without the application is a complete miss on the development team from Uber. As I will need to look into another company to do ride share for.,"2 people found this review helpful
            
        ",2 people,Rated with 1 star
"Denise of Brooklyn, NY","
                    Verified Reviewer
                ","Original review: Nov. 8, 2022",I lost an item in the car while taking my child to the ER. Customer service was not willing to contact the driver to help me retrieve my lost item. They said the driver was to busy to work out a way for me to retrieve my lost item. This is unprofessional.,"6 people found this review helpful
            
        ",6 people,Rated with 1 star
"Connie of Pinellas Park, FL","
                    Verified Reviewer
                ","Original review: Oct. 13, 2022","I was given an amount of $19.98 at the airport to transport me 8.8 miles. The Uber driver that picked me up did not speak the English language or it was broken up. He was very unclean and when I got in the doors automatically lock. He pulled into a destination that I was not familiar with as I am a new Floridian, and was insisting that I get out on the street, because that’s what the address stated! I refused because It wasn’t the address that a nice couple had help me put in to the Uber information. He finagled around with the GPS system and became quite angry that I would not get out of the vehicle. The security system ADT called, because it was taking so long to make sure that everything was OK!","6 people found this review helpful
            
        ",6 people,Rated with 1 star
"S of Ft Mitchell, KY","
                    Verified Reviewer
                ","Original review: Oct. 13, 2022","So many bad issues with Uber, it's hard to figure out where to start. For me, their customer service has been the biggest problem by far. The only way they allow questions about charges is through the ""HELP"" option in the app. The responses are automated, frequently don't address the problem and there's no way to reach someone to provide details. LIVE CHAT ON THEIR APP WOULD BE A BIG IMPROVEMENT. The categories they provide as options for a complaint are completely insufficient and useless most of the time. ","6 people found this review helpful
            
        ",6 people,Rated with 1 star
"Tara of Weybridge, Other","
                    Verified Reviewer
                ","Original review: Oct. 12, 2022",I had booked and received confirmations from Uber and the driver for pick at the train station. My ride was cancelled to the benefit of another person without explanation. I was charged for the ride. I guess the other person had not booked an UberX like me. I had to walk in the dark countrysides.,"2 people found this review helpful
            
        ",2 people,Rated with 1 star
"Lindsay of Victoria, Other","
                    Verified Reviewer
                ","Original review: Oct. 10, 2022","I have taken Uber many times in the past without any issues. My last experience made me wonder why I was a dedicated Uber rider. I was at an airport, as I waited to get off the plane I checked for Uber prices - the standard fee of $50 came up. I get off the plane and now it's $60, there was a slight issue with booking and had to restart and by the time I book it was $66. I stand at the curb like an idiot for 10 minutes in 40 deg weather waiting...and waiting...and waiting with the car shown to be 1 min away. Then poof the driver cancels","4 people found this review helpful
            
        ",4 people,Rated with 3 stars
"Peggie of Sacramento, CA","
                    Verified Reviewer
                ","Original review: Oct. 10, 2022","The Uber driver that I had was named Mohammed. His car was filthy. We were squished into the back. There were crumbs all over the seats, water bottles on the floor. Come to find out he reported that did that we dirty his car and I was charged a $150. That was a lie by the driver. The only good part about this was that Uber did refund me the $150. It doesn't change the fact that an Uber driver can claim anything they want. I recommend taking a picture of the car on the inside and outside before the driver starts driving.","3 people found this review helpful
            
        ",3 people,Rated with 1 star
"Russell of Los Angeles, CA","
                    Verified Reviewer
                ","Original review: Sept. 16, 2022","I live twelve minutes from work which isn’t far at all. For some reason it cost anywhere from $27 to $38 to get a ride. This wouldn’t be a problem if it weren’t for the fact that when I first started riding two weeks ago it was only $12. It seems like Uber has raised their prices because they see that I require their services more often. Then to make it even more annoying, it takes the drivers fourteen minutes or more to get to me when my job is in the middle of downtown LA. Do you guys not have drivers on standby near the city? I’m getting a car next week (thank the gods) so I will not be bothered anymore with this. Do better.. especially if you guys are charging almost $40 for a twelve minute ride.","8 people found this review helpful
            
        ",8 people,Rated with 1 star
"Roderick of Dallas, TX","
                    Verified Reviewer
                ","Original review: Sept. 15, 2022","My Uber account was hacked. The hacker changed the password and put in 2-step authentication so I cannot get in or change the password. I have contacted Uber 12 times via text and emails through their site. There is no way to call. They just tell me to log in, which I cannot do. I was charged $650 dollars for rides I did not take and gift cards I did not buy. Uber has done nothing to help me!","11 people found this review helpful
            
        ",11 people,Rated with 1 star
"C of North Hollywood, CA","
                    Verified Reviewer
                ","Original review: Sept. 14, 2022","LAX nonfunctional service. App won't confirm ride, but somehow managed to keep rerouting the effort to confirm a ride to useless additional information about the app. Midnight in LA and no ride. Taking a taxi, the old fashioned way. This is the fate of the uber hopeful in LA more and more since Uber only functions as advertised anymore when no one needs it. If it's peak hours or (apparently) airport service, you can NOT rely on Uber. Its only function seems to be an inevitable middle step in escalating frustration when trying to make use of it's services when you actually need them, only to give up and walk, download Lyft, or call a cab. Uber has devolved into wet garbage.","7 people found this review helpful
            
        ",7 people,Rated with 1 star
"Caroline of Elgin, IL","
                    Verified Reviewer
                ","Original review: Sept. 14, 2022","Updated on 09/14/2022: I reviewed Uber on here yesterday, saying that they had given me a lot of double talk about refunding my $100 deposit since I had already decided not to use them and quoting a series of rules and regulations about traveling with a cat in a carrier case when I had already booked the trip before I knew this and they assured me that all I had to do was contact the driver for my trip once he was assigned and ask him if it was alright to travel with my two cats in carriers to take them to the vet since they are not registered service animals. ","6 people found this review helpful
            
        ",6 people,Rated with 1 star
"sandra of Berkeley, CA","
                    Verified Reviewer
                ","Original review: Sept. 13, 2022","I have used Lyft for years; however, the company has not addressed my concerns about immunocompromised riders. They just follow CDC so my drivers have not used masks nor provided ventilation. Uber, on the other hand, has their drivers wearing masks and offering ventilation. Too I like the option of choosing eco rides. I will only use Uber from now on.","
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 5 stars
"Allen of Irvine, CA","
                    Verified Reviewer
                ","Original review: Sept. 7, 2022","Placed a pick up from LAX to Ladera Heights. First quote came in at $26.99. Uber then messaged a failed technical problem and asks to reapply. Second request came in at $30.99. Same distance from Ladera Heights to LAX was $21.99. As anyone can see clearly, this is price gouging. Uber will not succeed with gouging customers.","5 people found this review helpful
            
        ",5 people,Rated with 2 stars
"M.F. of Knoxville, TN","
                    Verified Reviewer
                ","Original review: Aug. 26, 2022",An Uber driver named Christopher was to pick me up between 4:35 and 4:45 pm at my Condominium Complex. I waited 5 minutes outside my condo starting at 4:30. Since I did not see his Jeep I started to walk to the entrance of the complex and expecting to see him on the way. I got to the entrance and waited there until 4:45. That's when I finally saw the Uber driver as he was leaving the complex. I flashed my Uber sign and he stopped. He then told me that he had cancelled my ride because I was not at the pick-up location. ,"8 people found this review helpful
            
        ",8 people,Rated with 1 star
"LaNane of Harrisburg, PA","
                    Verified Reviewer
                ","Original review: Aug. 26, 2022",After submitting my debit card to Uber I've have suspicious activity like bogus rides that was withdrawn from my bank account and Uber neglected my concerns. I think Uber is making false rides in order to steal money from people like me.,"4 people found this review helpful
            
        ",4 people,Rated with 5 stars
"V. of Bloomington, IL","
                    Verified Reviewer
                ","Original review: Aug. 24, 2022","I had to leave my car at a repair shop this morning and scheduled an Uber. My first Uber experience ever. I live 2.9 miles and 7 minutes from the auto repair shop. Uber had the unmitigated gall to charge me $20 for a 7 minute ride. $20 + tip. As if that's not bad enough, they charge a $2.00 Booking fee??? WTF? That helps them offset their costs! lol. I work from home. I use pencils, pens, paper, printers, computers and office chairs. Do I add extra charges for clients to pay for MY cost of doing business? No.","5 people found this review helpful
            
        ",5 people,Rated with 1 star
"Tony of Modesto, CA","
                    Verified Reviewer
                ","Original review: Aug. 21, 2022","I request a pick from the airport to home about 89 miles. The app gave a price of 112 dollars. I accept the ride. I walked to the ride app for pick-up but got lost in the airport. The driver was talking to me and let me know where to go. When I got, he told me that the company had canceled the order. Then told me that that was too far to drive and no one would pick me up. And this was 12 midnight. But it sounded like, ""If you give me cash then we'll talk."" I don't understand then why did the app give me a price in the first place. The driver was named ""Barinder"" ** date 8/20/22 order. Also did not understand if the driver was talking to me always till I met him. Then why did he not tell me from the beginning that he could not do it? To me, no regard for safety.","4 people found this review helpful
            
        ",4 people,Rated with 1 star
"Jason of Stafford, VA","
                    Verified Reviewer
                ","Original review: Aug. 15, 2022","The service is totally useless. No matter what I tried, credit card, debit card, and Paypal, I kept getting an error saying they don't accept all forms of payment even though all those are listed. The credit cards all had available funds. There is no way to contact them directly without going through their app and sending emails. This is useless when you need a real-time response. The phone number that I was able to find was an automated message that tells you to use the app and hangs up. These ** need to go out of business.","4 people found this review helpful
            
        ",4 people,Rated with 1 star
"Mindy of Kansas City, MO","
                    Verified Reviewer
                ","Original review: Aug. 6, 2022",Uber will steal your money I had canceled a ride on my Uber account shows canceled but was charged and on 7/29 had a driver texting the entire ride going 80mph almost rear ended a car then almost side swiped another because of the texting. Again in Uber account shows I was not charged anything but posted and cleared. Uber says they processed a refund my bank is saying no they have not. Now Uber will not respond back to me. Uber is also good for canceling rides just as they are about to pull up. Yesterday both my cards were charged for one ride.. Uber nothing but a thieves.,"8 people found this review helpful
            
        ",8 people,Rated with 1 star
"Edward of Sacramento, CA","
                    Verified Reviewer
                ","Original review: July 22, 2022",Needed a ride to airport. Prescheduled 2 days before. They never showed up. Missed my ride to Germany. I would never rely on Uber for anything important. If it's a Sat note date ok. Otherwise...beware. No tel support either,"9 people found this review helpful
            
        ",9 people,Rated with 1 star
"Debbie of Haines City, FL","
                    Verified Reviewer
                ","Original review: July 18, 2022","There was a fraudulent charge on 7/1/22 for $74.61 - I never left the house that week as I was sick in bed for days... and I never go more than 2 1/2 miles from home! I cannot get any information on the details of this trip (pick up address, destination, etc) so when I tried to reach Uber, there is no way to reach by phone - the 800 number that shows on the card charge entry just directs you to the website which has a ""help"" tab that doesn't really help!!!! I am moving to Lyft and will never use Uber again! Oh, and I had to cancel my card and wait days for a new one - very inconvenienced!!!","7 people found this review helpful
            
        ",7 people,Rated with 1 star
"Venom of Tulsa, OK","
                    Verified Reviewer
                ","Original review: July 18, 2022","After Uber stole money out of my bank account, I tried contacting customer service but there is not any phone number, the app tells you to go to the website. When you click on their help button the website is down and doesn't work, which is clearly a red flag for a scam. I now have to file a united nations police report for them stealing money from me. Uber is a scam. Do not use this company.","6 people found this review helpful
            
        ",6 people,Rated with 1 star
"Kent of Houston, TX","
                    Verified Reviewer
                ","Original review: July 17, 2022","A few days ago I was in Paris and reserved a van to pick us up at 7:00 am. That morning, a car arrived and I pointed out that we had reserved a van and not a car. The driver assured me he could fit the luggage into his car. When he could not do so he told us we would have to order another vehicle. We got a van and went to the airport, however Uber charged me 80.00 claiming that since the driver cancelled, we still had to pay. I protested the charge, however, Uber refused to reverse it claiming it was my fault that the driver had to cancel. This makes no sense but it is indicative of how Uber views their customers and we have no recourse.","3 people found this review helpful
            
        ",3 people,Rated with 1 star
"Tim of Madison, AL","
                    Verified Reviewer
                ","Original review: July 8, 2022","I requested a ride with Uber from the San Francisco International Airport. They didn't come in the estimated time the app showed, so I canceled the trip. I was billed anyway! Details below. I contacted Uber on May 12th from the San Francisco International Airport. The app would show rider 2 minutes away, then would change to 4 minutes away. After 3 changes to the estimated pickup time, I decided I could do better to get a taxi sitting at the curb. I canceled the Uber request and rode the taxi. The taxi ride was $13 more than Uber would have been, but they were there.","4 people found this review helpful
            
        ",4 people,Rated with 1 star
